customer_id,first_name,last_name,email,signup_date,city
1,Priya,Fernandes,user1@example.com,2021-01-01,Chennai
2,Karan,Rao,user2@example.com,2021-01-02,Delhi
3,Sara,Singh,user3@example.com,2021-01-03,Pune
4,John,Gupta,user4@example.com,2021-01-04,Mumbai
5,John,Patel,user5@example.com,2021-01-05,Delhi
6,Priya,Singh,user6@example.com,2021-01-06,Bangalore
7,John,Patel,user7@example.com,2021-01-07,Delhi
8,Sara,Fernandes,user8@example.com,2021-01-08,Chennai
9,John,Singh,user9@example.com,2021-01-09,Delhi
10,Karan,Shah,user10@example.com,2021-01-10,Bangalore
11,John,Fernandes,user11@example.com,2021-01-11,Delhi
12,David,Fernandes,user12@example.com,2021-01-12,Delhi
13,David,Patel,user13@example.com,2021-01-13,Pune
14,Sara,Rao,user14@example.com,2021-01-14,Chennai
15,Aisha,Singh,user15@example.com,2021-01-15,Mumbai
16,Aisha,Fernandes,user16@example.com,2021-01-16,Bangalore
17,Priya,Shah,user17@example.com,2021-01-17,Bangalore
18,Karan,Singh,user18@example.com,2021-01-18,Bangalore
19,Mary,Rao,user19@example.com,2021-01-19,Bangalore
20,John,Patel,user20@example.com,2021-01-20,Bangalore
21,John,Patel,user21@example.com,2021-01-21,Mumbai
22,John,Patel,user22@example.com,2021-01-22,Pune
23,Karan,Rao,user23@example.com,2021-01-23,Pune
24,Karan,Patel,user24@example.com,2021-01-24,Delhi
25,Priya,Gupta,user25@example.com,2021-01-25,Delhi
26,Mary,Patel,user26@example.com,2021-01-26,Bangalore
27,Aisha,Patel,user27@example.com,2021-01-27,Chennai
28,David,Gupta,user28@example.com,2021-01-28,Pune
29,John,Patel,user29@example.com,2021-01-29,Chennai
30,David,Gupta,user30@example.com,2021-01-30,Pune
31,Aisha,Shah,user31@example.com,2021-01-31,Mumbai
32,Alex,Rao,user32@example.com,2021-02-01,Mumbai
33,John,Fernandes,user33@example.com,2021-02-02,Chennai
34,David,Gupta,user34@example.com,2021-02-03,Bangalore
35,Aisha,Rao,user35@example.com,2021-02-04,Delhi
36,Priya,Fernandes,user36@example.com,2021-02-05,Mumbai
37,Priya,Rao,user37@example.com,2021-02-06,Chennai
38,Sara,Rao,user38@example.com,2021-02-07,Pune
39,Alex,Shah,user39@example.com,2021-02-08,Pune
40,David,Gupta,user40@example.com,2021-02-09,Delhi
41,David,Patel,user41@example.com,2021-02-10,Pune
42,John,Rao,user42@example.com,2021-02-11,Chennai
43,Mary,Patel,user43@example.com,2021-02-12,Chennai
44,Sara,Patel,user44@example.com,2021-02-13,Chennai
45,Alex,Shah,user45@example.com,2021-02-14,Pune
46,John,Singh,user46@example.com,2021-02-15,Pune
47,Aisha,Rao,user47@example.com,2021-02-16,Pune
48,Karan,Gupta,user48@example.com,2021-02-17,Mumbai
49,Aisha,Fernandes,user49@example.com,2021-02-18,Chennai
50,John,Patel,user50@example.com,2021-02-19,Chennai
51,Aisha,Fernandes,user51@example.com,2021-02-20,Mumbai
52,Karan,Rao,user52@example.com,2021-02-21,Chennai
53,Alex,Fernandes,user53@example.com,2021-02-22,Delhi
54,John,Singh,user54@example.com,2021-02-23,Bangalore
55,Aisha,Gupta,user55@example.com,2021-02-24,Mumbai
56,Aisha,Fernandes,user56@example.com,2021-02-25,Pune
57,John,Singh,user57@example.com,2021-02-26,Delhi
58,David,Singh,user58@example.com,2021-02-27,Chennai
59,Karan,Fernandes,user59@example.com,2021-02-28,Pune
60,David,Fernandes,user60@example.com,2021-03-01,Delhi
61,David,Fernandes,user61@example.com,2021-03-02,Delhi
62,Priya,Patel,user62@example.com,2021-03-03,Pune
63,Priya,Fernandes,user63@example.com,2021-03-04,Pune
64,John,Fernandes,user64@example.com,2021-03-05,Delhi
65,David,Shah,user65@example.com,2021-03-06,Pune
66,Mary,Gupta,user66@example.com,2021-03-07,Pune
67,John,Patel,user67@example.com,2021-03-08,Pune
68,John,Patel,user68@example.com,2021-03-09,Bangalore
69,Alex,Rao,user69@example.com,2021-03-10,Bangalore
70,Mary,Rao,user70@example.com,2021-03-11,Delhi
71,Alex,Gupta,user71@example.com,2021-03-12,Chennai
72,David,Rao,user72@example.com,2021-03-13,Chennai
73,David,Patel,user73@example.com,2021-03-14,Delhi
74,John,Fernandes,user74@example.com,2021-03-15,Delhi
75,Aisha,Singh,user75@example.com,2021-03-16,Mumbai
76,Alex,Gupta,user76@example.com,2021-03-17,Delhi
77,Mary,Rao,user77@example.com,2021-03-18,Pune
78,Sara,Gupta,user78@example.com,2021-03-19,Chennai
79,Alex,Shah,user79@example.com,2021-03-20,Bangalore
80,John,Singh,user80@example.com,2021-03-21,Bangalore
81,Alex,Fernandes,user81@example.com,2021-03-22,Bangalore
82,Aisha,Gupta,user82@example.com,2021-03-23,Chennai
83,John,Fernandes,user83@example.com,2021-03-24,Chennai
84,Karan,Rao,user84@example.com,2021-03-25,Bangalore
85,Mary,Fernandes,user85@example.com,2021-03-26,Pune
86,Sara,Fernandes,user86@example.com,2021-03-27,Bangalore
87,Alex,Rao,user87@example.com,2021-03-28,Delhi
88,Sara,Shah,user88@example.com,2021-03-29,Mumbai
89,John,Patel,user89@example.com,2021-03-30,Mumbai
90,Mary,Patel,user90@example.com,2021-03-31,Bangalore
91,Sara,Rao,user91@example.com,2021-04-01,Mumbai
92,Karan,Gupta,user92@example.com,2021-04-02,Chennai
93,Aisha,Singh,user93@example.com,2021-04-03,Chennai
94,John,Shah,user94@example.com,2021-04-04,Delhi
95,Karan,Rao,user95@example.com,2021-04-05,Pune
96,Sara,Shah,user96@example.com,2021-04-06,Delhi
97,Alex,Fernandes,user97@example.com,2021-04-07,Pune
98,Karan,Singh,user98@example.com,2021-04-08,Chennai
99,Aisha,Rao,user99@example.com,2021-04-09,Mumbai
100,John,Shah,user100@example.com,2021-04-10,Chennai
101,Aisha,Gupta,user101@example.com,2021-04-11,Pune
102,Sara,Singh,user102@example.com,2021-04-12,Bangalore
103,Alex,Rao,user103@example.com,2021-04-13,Delhi
104,Sara,Shah,user104@example.com,2021-04-14,Mumbai
105,Sara,Gupta,user105@example.com,2021-04-15,Pune
106,David,Singh,user106@example.com,2021-04-16,Chennai
107,Mary,Rao,user107@example.com,2021-04-17,Delhi
108,John,Singh,user108@example.com,2021-04-18,Chennai
109,David,Singh,user109@example.com,2021-04-19,Pune
110,Priya,Shah,user110@example.com,2021-04-20,Pune
111,Alex,Rao,user111@example.com,2021-04-21,Bangalore
112,Aisha,Singh,user112@example.com,2021-04-22,Mumbai
113,Aisha,Singh,user113@example.com,2021-04-23,Mumbai
114,Priya,Shah,user114@example.com,2021-04-24,Mumbai
115,Priya,Rao,user115@example.com,2021-04-25,Delhi
116,Aisha,Gupta,user116@example.com,2021-04-26,Bangalore
117,Karan,Singh,user117@example.com,2021-04-27,Mumbai
118,Sara,Rao,user118@example.com,2021-04-28,Mumbai
119,Alex,Rao,user119@example.com,2021-04-29,Bangalore
120,Karan,Singh,user120@example.com,2021-04-30,Pune
121,Aisha,Patel,user121@example.com,2021-05-01,Bangalore
122,Priya,Rao,user122@example.com,2021-05-02,Bangalore
123,Aisha,Fernandes,user123@example.com,2021-05-03,Delhi
124,Aisha,Fernandes,user124@example.com,2021-05-04,Chennai
125,Alex,Fernandes,user125@example.com,2021-05-05,Pune
126,Priya,Patel,user126@example.com,2021-05-06,Mumbai
127,Sara,Rao,user127@example.com,2021-05-07,Mumbai
128,Alex,Singh,user128@example.com,2021-05-08,Bangalore
129,Alex,Singh,user129@example.com,2021-05-09,Chennai
130,Sara,Fernandes,user130@example.com,2021-05-10,Mumbai
131,Mary,Rao,user131@example.com,2021-05-11,Chennai
132,Aisha,Patel,user132@example.com,2021-05-12,Pune
133,Mary,Shah,user133@example.com,2021-05-13,Mumbai
134,Sara,Singh,user134@example.com,2021-05-14,Mumbai
135,Karan,Patel,user135@example.com,2021-05-15,Delhi
136,Alex,Patel,user136@example.com,2021-05-16,Bangalore
137,Mary,Patel,user137@example.com,2021-05-17,Delhi
138,Sara,Rao,user138@example.com,2021-05-18,Mumbai
139,Mary,Fernandes,user139@example.com,2021-05-19,Bangalore
